-------------------这是一个nodejs测试文件------------------
NAME                      | DESCRIPTION          | AUTHOR          | DATE       | VERSION  | KEYWORDS
11zgit-fs                 | Git as a filesystem. | =sun11          | 2012-11-17 | 0.0.10   |         
34322fsdf4sddddaq1        |                      | =drizzt79s      | 2015-10-28 | 1.0.0    | 
9gif                      | Download gifs from…  | =timomeh        | 2016-10-09 | 1.0.0    | 9gag gif download
a-object                  | A Node.js module…    | =fschuetz04     | 2015-01-01 | 1.0.4    | asynchronous object synchronous update key value compare iterate
a-partition               | Splits an array…     | =vikramcse      | 2016-04-14 | 1.0.1    | split array satisfied predicate condition two halfs
aap.bash                  | language-agnostic…   | =coderofsalvat… | 2015-12-08 | 1.0.21   | package manager buildtool utility language-agnostic bash aap deploy dependencymanager
abspath                   | Absolute full path…  | =rockedpanda    | 2016-05-10 | 0.0.2    | absolute path full
abstract-file             | It can be used on…   | =riceball       | 2016-03-19 | 0.5.4    | vinyl file fs dir directory folder abstract class klass
abstract-fs               | An abstract…         | =voltrevo       | 2016-11-16 | 0.0.3    | abstract fs api simple
abstract-peer-routing     | A test suite and…    | =daviddias      | 2015-12-12 | 0.1.0    | IPFS
abstract-record-store     | A test suite and…    | =daviddias      | 2015-12-12 | 0.1.1    | IPFS
abstractfs                | A filesystem…        | =nikki          | 2016-01-13 | 1.0.7    | abstractfs filesystem
ac-fs                     | Common and/or…       | =pureppl        | 2016-06-23 | 1.1.0    | fs files folders directories directory rimraf empty json symlinks promises
accelerometer-math        | Vector calculations… | =sqrtofsaturn   | 2015-02-11 | 1.2.0    | accelerometer vector math
access-promise            | An fs.access…        | =rektide        | 2016-11-23 | 1.0.1    | access
acorn-bfs                 | Breadth-first…       | =danielstjules  | 2015-11-18 | 0.1.0    | acorn bfs traverse traversal ast tree
ad.js                     | Automatic…           | =iffsid         | 2015-07-06 | 1.4.1    | automatic differentiation overloaded operators
adal-node                 | Windows Azure…       | =msopentech…    | 2016-08-01 | 0.1.22   | node azure AAD adal adfs oauth
adaptiveui-stateful       | A (in)finite…        | =mwjaworski     | 2016-03-08 | 1.1.0    | adaptive stateful fsm finite machine component presentation
add-brfs                  | adds brfs as a…      | =mattdesl       | 2014-09-04 | 1.1.1    | add brfs browserify transform browserify-transforms package package.json edit cli json
add-workitems-to-tfs      | AddWorkItemsToTFS    | =robmaher       | 2014-11-06 | 0.0.3    | 
adfs-strategy             | Passport strategy…   | =trevorbasinger | 2014-10-29 | 0.0.2    | passport strategy federation adfs
adifserializer            | Handy library for…   | =db6edr         | 2015-07-09 | 0.2.1    | adif hamradio log
adm-zip-electron          | Fork of a…           | =kadledav       | 2015-11-10 | 0.4.7    | zip methods archive unzip
adonis-filesystem         | This package allows… | =rtablada       | 2016-09-01 | 0.3.0    | 
advanced-require          | Require things in…   | =andy.potanin   | 2013-07-23 | 0.0.2    | require watch load fs emitter events
aerofs-sdk-javascript     | An AeroFS Private…   | =danielcardoza  | 2016-02-29 | 1.0.0    | aerofs api sdk
aerostate                 | Async fluent state…  | =vaselok…       | 2015-11-19 | 0.0.3    | FSM state machine ES6 fluent async
afs                       | A set of streams…    | =pandelon       | 2015-01-14 | 1.0.1    | array stream
afs_export                |                      |                 | 2015-12-05 |          | 
afs-blob-store            | An implementation…   | =openstackci    | 2016-04-20 | 1.0.1    | registry-static afs openstack
afs-button                | This includes a…     | =vnuuk          | 2016-12-20 | 0.0.1    | 
afstatsd                  | A StatsD client for… | =appfirst       | 2014-09-16 | 1.0.0    | statsd appfirst
afstest                   | test description     | =vnuuk          | 2016-12-20 | 1.0.0    | 
afsudoku                  | A backtracking…      | =lencse         | 2016-11-21 | 1.0.1    | sudoku sudoku-solver solver puzzle backtrack backtracking
ag-gl-fbo                 | Frame buffer object… | =agamnentzar    | 2016-11-26 | 2.0.7    | fbo frame buffer framebuffer object webgl gl offscreen render texture renderbuffer render
agent-fsm                 | agent fsm            | =you21979       | 2014-10-27 | 0.0.2    | fsm
aglet-fs                  | File system micro…   | =jsui           | 2016-04-09 | 0.0.1-p… | 
ahrefs                    | Ahrefs API Nodejs…   | =ybonnefond     | 2015-09-05 | 0.1.0    | ahrefs ahrefs.com seo ahrefs api
ain2-fs                   | Syslog logging for…  | =ossareh        | 2011-10-03 | 0.0.4    | 
airport-timezone          | A json object…       | =dereke         | 2016-04-11 | 1.0.0    | airport timezone
airsocket                 | Transmit/receive…    | =ravenstine     | 2016-05-26 | 0.0.7    | goertzel fourier fsk afsk audio dft frequency modulation
alcofs                    | Sync fs utilities -… | =alco           | 2014-04-24 | 0.1.0    | 
alexa-statemachine        | A fsm (state…        | =rain-agency    | 2017-01-13 | 0.1.0    | alexa skills apps framework echo amazon
alexfsep_front            | front end angular1   | =alexfsep       | 2016-09-01 | 1.0.0    | 
ali                       | sdfsdfsdf            | =mrtdeh         | 2016-05-02 | 1.1.5    | nexm node example manager
alien-bds-fstools         | tools in Alien BDS…  | =purple.calm    | 2015-11-25 | 0.1.0    | 
aligned-buffer            | Create aligned…      | =bobrik         | 2012-10-16 | 0.1.2    | buffer posix_memalign memalign alignment fs iops io disk
alinex-fs                 | Extension of nodes…  | =alinex         | 2016-09-29 | 3.0.3    | file filesystem find mkdirs move tempdir remove
allege                    | Make complex…        | =brycehanscomb  | 2016-06-12 | 1.0.6    | is any of if ifs conditional check checking is all validate
alog                      | Editable log on top… | =krlkrl         | 2015-10-12 | 1.0.2    | ipfs aolog
amayfs                    | Node.js A prueba     | =juanchoaz      | 2014-06-11 | 0.1.0    | prueba prueba
